Mesh;Loadcase;LOAD_N;SIG_0_ABS;SIG_0;sigma0;m;V_mesh;A_mesh;Pf_mesh;S_mesh;VF_Gauss26;PF_Gauss26
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;9;8.46730996;;1.0;119.566513;8.46730996;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;10;2.865067004;;0.9999999628843932;119.566513;2.865067004;0.9999999628843932
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;11;0.986153424;;0.9991249668412526;119.566513;0.986153424;0.9991249668412526
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;12;0.3539615868;;0.9512883012603124;119.566513;0.3539615868;0.9512883012603124
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;13;0.1396173984;;0.759530209291869;119.566513;0.1396173984;0.759530209291869
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;14;0.06560456;;0.550983876426302;119.566513;0.06560456;0.550983876426302
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;15;0.038940724;;0.4334899809152514;119.566513;0.038940724;0.4334899809152514
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;16;0.0284247212;;0.3910157964566311;119.566513;0.0284247212;0.3910157964566311
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;17;0.02355121448;;0.3881896637159851;119.566513;0.02355121448;0.3881896637159851
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;18;0.02075666376;;0.4041470879491727;119.566513;0.02075666376;0.4041470879491727
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;19;0.01881255956;;0.4294110560649407;119.566513;0.01881255956;0.4294110560649407
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;20;0.01727988944;;0.4600155612899866;119.566513;0.01727988944;0.4600155612899866
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;21;0.01599003932;;0.4942888380765388;119.566513;0.01599003932;0.4942888380765388
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;22;0.01486976072;;0.5314342548751742;119.566513;0.01486976072;0.5314342548751742
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;23;0.01388069708;;0.5709228776609542;119.566513;0.01388069708;0.5709228776609542
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;24;0.01299927012;;0.6122649302922918;119.566513;0.01299927012;0.6122649302922918
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;25;0.01220853812;;0.6548943843028672;119.566513;0.01220853812;0.6548943843028672
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;26;0.01149536016;;0.6981315524445033;119.566513;0.01149536016;0.6981315524445033
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;27;0.01084919552;;0.7411802942597925;119.566513;0.01084919552;0.7411802942597925
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;28;0.01026138572;;0.7831456632352247;119.566513;0.01026138572;0.7831456632352247
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;29;0.0097247744;;0.8230761533651222;119.566513;0.0097247744;0.8230761533651222
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;30;0.00923323912;;0.8600206319564403;119.566513;0.00923323912;0.8600206319564403
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;31;0.0087815402;;0.8931122621971948;119.566513;0.0087815402;0.8931122621971948
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;32;0.00836535356;;0.9216660060490336;119.566513;0.00836535356;0.9216660060490336
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;33;0.0079807518;;0.9452560701340686;119.566513;0.0079807518;0.9452560701340686
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;34;0.00762453024;;0.9637919129701352;119.566513;0.00762453024;0.9637919129701352
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;35;0.00729379896;;0.9775321672895784;119.566513;0.00729379896;0.9775321672895784
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;36;0.00698605552;;0.9870526840167296;119.566513;0.00698605552;0.9870526840167296
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;37;0.00669909456;;0.9931527450697804;119.566513;0.00669909456;0.9931527450697804
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;38;0.00643104828;;0.9967224123092184;119.566513;0.00643104828;0.9967224123092184
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;39;0.00618011876;;0.9986025323273832;119.566513;0.00618011876;0.9986025323273832
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;40;0.00594487412;;0.999479155761825;119.566513;0.00594487412;0.999479155761825
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;41;0.00572398912;;0.999833986179058;119.566513;0.00572398912;0.999833986179058
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;42;0.00551620032;;0.9999558815420132;119.566513;0.00551620032;0.9999558815420132
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;43;0.00532048848;;0.999990511743986;119.566513;0.00532048848;0.999990511743986
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;44;0.00513586124;;0.9999984048613284;119.566513;0.00513586124;0.9999984048613284
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;45;0.00496148644;;0.9999997987065298;119.566513;0.00496148644;0.9999997987065298
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;46;0.00479658368;;0.9999999818144214;119.566513;0.00479658368;0.9999999818144214
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;47;0.00464041576;;0.9999999988868749;119.566513;0.00464041576;0.9999999988868749
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;48;0.00449239228;;0.9999999999567336;119.566513;0.00449239228;0.9999999999567336
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;49;0.00435189764;;0.9999999999990096;119.566513;0.00435189764;0.9999999999990096
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;50;0.00421843772;;0.9999999999999878;119.566513;0.00421843772;0.9999999999999878
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;1;53530.422;;1.0;119.56651;53530.422;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;2;17907.89452;;1.0;119.56651;17907.89452;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;3;5991.38916;;1.0;119.56651;5991.38916;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;4;2004.601196;;1.0;119.56651;2004.601196;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;5;670.757812;;1.0;119.56651;670.757812;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;6;224.4871064;;1.0;119.56651;224.4871064;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;7;75.163704;;1.0;119.56651;75.163704;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;8;25.19380952;;1.0;119.56651;25.19380952;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;9;8.46721172;;1.0;119.56651;8.46721172;1.0
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;10;2.864974736;;0.9999999628637776;119.56651;2.864974736;0.9999999628637776
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;11;0.986061932;;0.9991243933259064;119.56651;0.986061932;0.9991243933259064
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;12;0.35387215;;0.9512510494510612;119.56651;0.35387215;0.9512510494510612
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;13;0.1395311804;;0.7593183716114859;119.56651;0.1395311804;0.7593183716114859
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;14;0.0655212028;;0.5505267041977044;119.56651;0.0655212028;0.5505267041977044
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;15;0.03886076436;;0.432828442967483;119.56651;0.03886076436;0.432828442967483
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;16;0.0283481106;;0.3902010869905745;119.56651;0.0283481106;0.3902010869905745
